NATLOC,OCC,DECILE,ENERGIE,ETIQUETTE,NB_LOG
AP,LP,D7,Autres,C,7189.281185
MA,LP,D7,Autres,C,4909.471419
AP,LS,D7,Autres,C,13082.94098
MA,LS,D7,Autres,C,249.3632324
AP,P,D7,Autres,C,9317.431795
MA,P,D7,Autres,C,72779.90288
AP,G,D8,Autres,C,507.9388987
MA,G,D8,Autres,C,473.3210493
AP,LP,D8,Autres,C,7163.64658
MA,LP,D8,Autres,C,4498.523687
AP,LS,D8,Autres,C,10129.79143
MA,LS,D8,Autres,C,153.4752021
AP,P,D8,Autres,C,11381.09464
MA,P,D8,Autres,C,79243.73448
AP,G,D9,Autres,C,463.7724591
MA,G,D9,Autres,C,447.7045464
AP,LP,D9,Autres,C,7127.285028
MA,LP,D9,Autres,C,4157.882794
AP,LS,D9,Autres,C,7331.478778
MA,LS,D9,Autres,C,78.87956809
AP,P,D9,Autres,C,13748.98155
MA,P,D9,Autres,C,83593.44419
AP,G,D10,Autres,C,490.4261249
MA,G,D10,Autres,C,442.736522
AP,LP,D10,Autres,C,8217.547666
MA,LP,D10,Autres,C,3512.848193
AP,LS,D10,Autres,C,3548.447078
MA,LS,D10,Autres,C,27.65924977
AP,P,D10,Autres,C,19722.17611
MA,P,D10,Autres,C,82644.11393
AP,G,D1,Electricité,C,568.3407064
MA,G,D1,Electricité,C,438.006945
AP,LP,D1,Electricité,C,29075.7547
MA,LP,D1,Electricité,C,6617.250761
AP,LS,D1,Electricité,C,16013.72114
MA,LS,D1,Electricité,C,1428.54424
AP,P,D1,Electricité,C,5649.117553
MA,P,D1,Electricité,C,14222.46815
AP,G,D2,Electricité,C,691.4338281
MA,G,D2,Electricité,C,501.4759605
AP,LP,D2,Electricité,C,23604.66024
MA,LP,D2,Electricité,C,7860.568422
AP,LS,D2,Electricité,C,15801.51123
MA,LS,D2,Electricité,C,1551.884369
AP,P,D2,Electricité,C,7645.115126
MA,P,D2,Electricité,C,22629.65967
AP,G,D3,Electricité,C,563.1775744
MA,G,D3,Electricité,C,552.8772744
AP,LP,D3,Electricité,C,20480.23731
MA,LP,D3,Electricité,C,7675.002375
AP,LS,D3,Electricité,C,11401.4973
MA,LS,D3,Electricité,C,1276.338944
AP,P,D3,Electricité,C,9131.560281
MA,P,D3,Electricité,C,31802.79411
AP,G,D4,Electricité,C,596.0851223
MA,G,D4,Electricité,C,435.359863
AP,LP,D4,Electricité,C,20928.96259
MA,LP,D4,Electricité,C,7392.046098
AP,LS,D4,Electricité,C,9214.497796
MA,LS,D4,Electricité,C,1074.529513
AP,P,D4,Electricité,C,10849.06108
MA,P,D4,Electricité,C,38239.12572
AP,G,D5,Electricité,C,646.0215586
MA,G,D5,Electricité,C,498.5851815
AP,LP,D5,Electricité,C,21000.52163
MA,LP,D5,Electricité,C,7680.421621
AP,LS,D5,Electricité,C,7792.928178
MA,LS,D5,Electricité,C,843.5374393
AP,P,D5,Electricité,C,12196.5934
MA,P,D5,Electricité,C,44595.91227
AP,G,D6,Electricité,C,539.4078008
MA,G,D6,Electricité,C,401.7995589
AP,LP,D6,Electricité,C,21673.98881
MA,LP,D6,Electricité,C,7625.835251
AP,LS,D6,Electricité,C,5771.590938
MA,LS,D6,Electricité,C,581.3082434
AP,P,D6,Electricité,C,14609.09945
MA,P,D6,Electricité,C,51064.98592
AP,G,D7,Electricité,C,615.3852619
MA,G,D7,Electricité,C,455.4061647
AP,LP,D7,Electricité,C,21501.11076
MA,LP,D7,Electricité,C,7585.744884
AP,LS,D7,Electricité,C,4773.707278
MA,LS,D7,Electricité,C,453.4615908
AP,P,D7,Electricité,C,16849.57407
MA,P,D7,Electricité,C,56348.0366
AP,G,D8,Electricité,C,651.412893
MA,G,D8,Electricité,C,455.5137806
AP,LP,D8,Electricité,C,20609.1032
MA,LP,D8,Electricité,C,7103.320926
AP,LS,D8,Electricité,C,3444.862957
MA,LS,D8,Electricité,C,286.2223572
AP,P,D8,Electricité,C,20904.78306
MA,P,D8,Electricité,C,62847.06287
AP,G,D9,Electricité,C,482.0294065
MA,G,D9,Electricité,C,380.585857
AP,LP,D9,Electricité,C,18816.8345
MA,LP,D9,Electricité,C,6923.092011
AP,LS,D9,Electricité,C,2228.176254
MA,LS,D9,Electricité,C,180.9118126
AP,P,D9,Electricité,C,24009.95999
MA,P,D9,Electricité,C,69819.31339
AP,G,D10,Electricité,C,538.8005369
MA,G,D10,Electricité,C,487.6584198
AP,LP,D10,Electricité,C,16926.36571
MA,LP,D10,Electricité,C,6429.63427
AP,LS,D10,Electricité,C,1142.536476
MA,LS,D10,Electricité,C,38.14573819
AP,P,D10,Electricité,C,32654.31993
MA,P,D10,Electricité,C,76911.67012
AP,G,D1,Gaz,C,1689.008908
MA,G,D1,Gaz,C,850.8574039
AP,LP,D1,Gaz,C,61176.07092
